"filename", "language", "Markdown", "Python", "JSON", "comment", "blank", "total"
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Client\__init__.py", "Python", 0, 119, 0, 1, 14, 134
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Client\konfig\client.json", "JSON", 0, 0, 6, 0, 0, 6
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Client\lib\hashing.py", "Python", 0, 5, 0, 0, 1, 6
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Client\new.py", "Python", 0, 80, 0, 1, 7, 88
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\README.md", "Markdown", 59, 0, 0, 0, 18, 77
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Authentication.py", "Python", 0, 32, 0, 0, 4, 36
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Get_user_informations.py", "Python", 0, 24, 0, 2, 3, 29
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Inventory_db.py", "Python", 0, 15, 0, 3, 2, 20
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Load_player.py", "Python", 0, 17, 0, 6, 3, 26
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Quests.py", "Python", 0, 10, 0, 4, 1, 15
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Registration.py", "Python", 0, 35, 0, 0, 5, 40
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Set_quests.py", "Python", 0, 8, 0, 1, 1, 10
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Set_status.py", "Python", 0, 30, 0, 0, 4, 34
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Database.py", "Python", 0, 11, 0, 0, 3, 14
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Enums\Next_message.py", "Python", 0, 6, 0, 3, 2, 11
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Building.py", "Python", 0, 66, 0, 0, 15, 81
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Item.py", "Python", 0, 12, 0, 0, 3, 15
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Map\Capital_city\Capital_city.py", "Python", 0, 57, 0, 3, 10, 70
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Map\Capital_city\Capital_city_tawern.py", "Python", 0, 15, 0, 0, 5, 20
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Map\Forest_of_life\Forest_of_life.py", "Python", 0, 25, 0, 0, 3, 28
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Map\Gem_town\Gem_town.py", "Python", 0, 19, 0, 0, 2, 21
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Map\Place.py", "Python", 0, 144, 0, 0, 31, 175
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Map\Route1\Route1.py", "Python", 0, 21, 0, 0, 3, 24
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Map\Route2\Route2.py", "Python", 0, 20, 0, 0, 2, 22
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\NPC.py", "Python", 0, 2, 0, 0, 0, 2
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Player.py", "Python", 0, 47, 0, 0, 5, 52
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\CMD_level.py", "Python", 0, 28, 0, 0, 9, 37
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\First_view.py", "Python", 0, 87, 0, 25, 19, 131
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Inventory_level.py", "Python", 0, 76, 0, 0, 17, 93
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Load_user.py", "Python", 0, 31, 0, 0, 2, 33
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Profil\Profile.py", "Python", 0, 47, 0, 0, 10, 57
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Register_view.py", "Python", 0, 164, 0, 0, 27, 191
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Others\Connection.py", "Python", 0, 48, 0, 46, 8, 102
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Others\Crossing.py", "Python", 0, 16, 0, 0, 5, 21
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Others\Help_methods.py", "Python", 0, 8, 0, 16, 1, 25
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\__init__.py", "Python", 0, 62, 0, 12, 11, 85
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\database.json", "JSON", 0, 0, 5, 0, 0, 5
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\lib\ICommand.py", "Python", 0, 5, 0, 0, 1, 6
"Total", "-", 59, 1392, 11, 123, 257, 1842
