"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\README.md", "Markdown", 0, 14, 0, 2, 16
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Building.py", "Python", 0, 0, 58, 2, 60
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Item.py", "Python", 0, 0, 24, 0, 24
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\NPC.py", "Python", 0, 0, 14, 0, 14
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\NPCs\Bartender.py", "Python", 38, 0, 0, 4, 42
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Player.py", "Python", 0, 0, 74, 0, 74
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\CMD_level.py", "Python", 0, 0, 26, 0, 26
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\First_view.py", "Python", 0, 0, 32, 0, 32
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Inventory_level.py", "Python", 0, 0, 74, 2, 76
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Load_user.py", "Python", 0, 0, 11, 0, 11
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Profil\Profile.py", "Python", 0, 0, 28, 0, 28
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Register_view.py", "Python", 2, 0, 55, 0, 57
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Others\Connection.py", "Python", 0, 0, -4, 0, -4
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Others\Crossing.py", "Python", 0, 0, 40, 0, 40
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Others\Help_methods.py", "Python", 0, 0, 11, 0, 11
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\lib\ICommand.py", "Python", 0, 0, 11, 0, 11
"Total", "-", 40, 14, 454, 10, 518
