"filename", "language", "Python", "SQL", "comment", "blank", "total"
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Client\lib\hashing.py", "Python", -5, 0, 0, -1, -6
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Ability_CRUD.py", "Python", 0, 0, 42, 0, 42
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Ability.py", "Python", -1, 0, 0, 0, -1
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Map\Capital_city\Capital_city.py", "Python", 0, 0, 8, 0, 8
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\NPCs\Bartender.py", "Python", 0, 0, 26, 0, 26
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\First_view.py", "Python", 1, 0, 0, 0, 1
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Register_view.py", "Python", 1, 0, 0, 0, 1
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\lib\hashing.py", "Python", 5, 0, 13, 1, 19
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\mystic_jewels.session.sql", "SQL", 0, -2, 0, 0, -2
"Total", "-", 1, -2, 89, 0, 88
